District,Station_name,State,Agency_name,Year,level,lat,long,is_filled
Ujjain,Jaithal,Madhya Pradesh,Madhya Pradesh GW,2022,9.3,23.28343056,75.82079222,True
Ujjain,Karondiya,Madhya Pradesh,Madhya Pradesh GW,2015,11.1,23.17597333,75.84435944,False
Ujjain,Karondiya,Madhya Pradesh,Madhya Pradesh GW,2016,10.15,23.17597333,75.84435944,False
Ujjain,Karondiya,Madhya Pradesh,Madhya Pradesh GW,2017,9.6,23.17597333,75.84435944,False
Ujjain,Karondiya,Madhya Pradesh,Madhya Pradesh GW,2018,10.4,23.17597333,75.84435944,False
Ujjain,Karondiya,Madhya Pradesh,Madhya Pradesh GW,2019,6.55,23.17597333,75.84435944,False
Ujjain,Madhopur,Madhya Pradesh,Madhya Pradesh GW,2015,9.45,23.09270472,75.97394222,False
Ujjain,Madhopur,Madhya Pradesh,Madhya Pradesh GW,2016,9.35,23.09270472,75.97394222,False
Ujjain,Madhopur,Madhya Pradesh,Madhya Pradesh GW,2017,9.55,23.09270472,75.97394222,False
Ujjain,Madhopur,Madhya Pradesh,Madhya Pradesh GW,2018,9.649999999999999,23.09270472,75.97394222,False
Ujjain,Madhopur,Madhya Pradesh,Madhya Pradesh GW,2019,6.25,23.09270472,75.97394222,False
Ujjain,Madhopur,Madhya Pradesh,Madhya Pradesh GW,2020,6.0,23.09270472,75.97394222,False
Ujjain,Madhopur,Madhya Pradesh,Madhya Pradesh GW,2021,8.0,23.09270472,75.97394222,True
Ujjain,Madhopur,Madhya Pradesh,Madhya Pradesh GW,2022,9.0,23.09270472,75.97394222,True
Ujjain,Narwar,Madhya Pradesh,Madhya Pradesh GW,2015,6.2,23.0763525,75.91591194,False
Ujjain,Narwar,Madhya Pradesh,Madhya Pradesh GW,2016,8.2,23.0763525,75.91591194,False
Ujjain,Narwar,Madhya Pradesh,Madhya Pradesh GW,2017,6.75,23.0763525,75.91591194,False
Ujjain,Narwar,Madhya Pradesh,Madhya Pradesh GW,2018,6.65,23.0763525,75.91591194,False
Ujjain,Narwar,Madhya Pradesh,Madhya Pradesh GW,2019,4.65,23.0763525,75.91591194,False
Ujjain,Narwar,Madhya Pradesh,Madhya Pradesh GW,2020,4.5,23.0763525,75.91591194,False
Ujjain,Narwar,Madhya Pradesh,Madhya Pradesh GW,2021,6.5,23.0763525,75.91591194,True
Ujjain,Narwar,Madhya Pradesh,Madhya Pradesh GW,2022,7.5,23.0763525,75.91591194,True
Ujjain,Ninora,Madhya Pradesh,Madhya Pradesh GW,2015,13.7,23.08429639,75.824305,False
Ujjain,Ninora,Madhya Pradesh,Madhya Pradesh GW,2016,11.8,23.08429639,75.824305,False
Ujjain,Ninora,Madhya Pradesh,Madhya Pradesh GW,2017,12.3,23.08429639,75.824305,False
Ujjain,Ninora,Madhya Pradesh,Madhya Pradesh GW,2018,13.35,23.08429639,75.824305,False
Ujjain,Ninora,Madhya Pradesh,Madhya Pradesh GW,2019,8.4,23.08429639,75.824305,False
