District wise Ground Water Availability Data of Madhya Pradesh State (In ham) of Year 2020,,,,,,
,,,,,,
District Name,Net Groundwater Availability,Natural Discharge During Non-Monsoon Season,Annual Replenishable Groundwater Resources (Total),Annual Irrigation Draft,Annual Domestic and Industrial Draft,Annual Groundwater Draft(Total)
Agar,41027.84,4382.3,45410.14,38041.29,1593.66,39634.95
Alirajpur,21327.31,1776.22,23103.53,6306.57,2189.07,8495.64
Anuppur,37734.99,2695.93,40430.92,6038.97,1512.23,7551.2
Ashoknagar,35701.85,3103.98,38805.83,20681.54,1746.69,22428.23
Balaghat,78053.48,8672.64,86726.12,12464.29,3597.17,16061.46
Barwani,51745.54,5165.15,56910.69,33147.22,3491.24,36638.46
Betul,113477.81,8221.47,121699.28,46816.25,3753.32,50569.57
Bhind,88746.59,9204.22,97950.82,25344.54,3414.4,28758.94
Bhopal,36865.29,3042.37,39907.66,23436.86,3579.55,27016.41
Burhanpur,37343.92,2929.68,40273.6,22112.22,1469.58,23581.8
Chhatarpur,80453.59,6288.59,86742.18,50832.41,2952.35,53784.76
Chhindwara,98786.94,5919.69,104706.63,53283.55,5792.71,59076.26
Damoh,39298.28,3545.25,42843.53,19443.36,2988.54,22431.9
Datia,40768.14,3037.44,43805.58,12664.84,1678.34,14343.18
Dewas,80802.06,6096.06,86898.12,60554.71,4130.05,64684.76
Dhar,104913.07,9401.24,114314.3,77390.91,5739.37,83130.28
Dindori,38837.01,2604.84,41441.85,2377.6,1754.34,4131.94
Guna,75265.86,4324.69,79590.55,47286.67,2408.17,49694.84
Gwalior,73689.1,6641.99,80331.09,17955.82,3756.7,21712.52
Harda,46686.75,5187.43,51874.18,14704.63,1183.32,15887.95
Hoshangabad,195019.19,12074.2,207093.39,39144.71,2168.49,41313.2
Indore,54614.14,5476.51,60090.65,59179.95,9617.48,68797.43
Jabalpur,58997.21,4819,63816.21,25507.4,3543.15,29050.55
Jhabua,26233.84,1703.56,27937.4,10246.94,2993.56,13240.5
Katni,36677.26,3136.6,39813.86,13378.93,2624.73,16003.66
Khandwa,90037.02,8047.93,98084.95,40020.29,2927.4,42947.69
Khargone,105961.41,7863.59,113825.01,41433.83,4293.5,45727.33
Mandla,59244.15,3425.88,62670.03,6908.22,2425.78,9334
Mandsaur,60359.85,6706.65,67066.5,61437.69,3311.25,64748.94
Morena,63784.63,5361.48,69146.12,19819.3,5581.4,25400.7
Narsinghpur,113541.26,8296.36,121837.62,70217.32,2263.17,72480.49
Neemuch,38300.25,4255.57,42555.82,33497.06,1893.07,35390.13
Panna,58260.17,6473.35,64733.52,15444.08,2363.99,17808.07
Raisen,81949.21,7206.76,89155.97,39617.81,3877.11,43494.92
Rajgarh,77503.75,4954.26,82458.01,61546.56,3873.19,65419.75
Ratlam,76322.66,8108.4,84431.06,103519.66,4222.22,107741.88
Rewa,48367.63,4009.86,52377.49,21032.59,5520.2,26552.79
Sagar,99930.26,8828.73,108758.99,56586.75,3645.88,60232.63
Satna,59291.86,5640.78,64932.64,33693.62,4544.75,38238.37
Sehore,65187.81,4608.14,69795.95,38035.12,2365.6,40400.72
Seoni,68249.83,4252.85,72502.68,22485.01,3136.8,25621.81
Shahdol,43988.5,4887.61,48876.11,4944.24,2157.66,7101.9
Shajapur,53250.21,3551.76,56801.97,54079.84,2098.73,56178.57
Sheopur,51172.6,4957.24,56129.84,17631.34,1719.3,19350.64
Shivpuri,74729.04,5712.34,80441.38,48093.48,4394.96,52488.44
Sidhi,47493.79,3756.37,51250.17,8506.79,2518.87,11025.66
Singrauli,34053.65,2717.35,36771,10858.41,2174.35,13032.76
Tikamgarh,56361.39,5618.82,61980.21,36393.46,3841.62,40235.08
Ujjain,91800.84,8396.96,100197.8,92923.58,3546.72,96470.3
Umaria,41477.73,4608.62,46086.35,8591.38,1480.99,10072.37
Vidisha,84353.11,6394.74,90747.85,47660.09,3576.55,51236.64
